player_type,trait,polarity,generic_component,specific_component,total_effect_without_context,notes
hitter,Ace Exterminator,positive,0.9657,0.0,0.9657,
hitter,BB Prone,negative,-1.7518,0.0,-1.7518,
pitcher,BB Prone,negative,-1.1653,0.0,-1.1653,
hitter,Bad Ball Hitter,positive,0.9657,-0.4593,0.5064,
hitter,Bad Jumps,negative,-1.7518,0.0,-1.7518,
pitcher,Bad Jumps,negative,-1.1653,0.0,-1.1653,
hitter,Base Jogger,negative,-1.7518,0.0,-1.7518,
pitcher,Base Jogger,negative,-1.1653,0.0,-1.1653,
hitter,Base Rounder,positive,0.9657,0.0,0.9657,
hitter,Big Hack,positive,0.9657,-0.2192,0.7464,
hitter,Bunter,positive,0.9657,0.0,0.9657,
hitter,Butter Fingers,negative,-1.7518,0.0,-1.7518,
pitcher,Butter Fingers,negative,-1.1653,0.0,-1.1653,
hitter,CON vs LHP,positive,0.9657,0.0,0.9657,
hitter,CON vs RHP,positive,0.9657,0.0,0.9657,
hitter,Cannon Arm,positive,0.9657,-0.5418,0.4239,
hitter,Choker,negative,-1.7518,0.0,-1.7518,
pitcher,Choker,negative,-1.1653,0.0,-1.1653,
hitter,Clutch,positive,0.9657,0.0,0.9657,
pitcher,Clutch,positive,1.2139,0.0,1.2139,
pitcher,Composed,positive,1.2139,0.0,1.2139,
hitter,Consistent,positive,0.9657,0.0,0.9657,
pitcher,Consistent,positive,1.2139,0.0,1.2139,
hitter,Crossed Up,negative,-1.7518,0.0,-1.7518,
pitcher,Crossed Up,negative,-1.1653,1.5628,0.3976,
hitter,Distractor,positive,0.9657,0.0,0.9657,
hitter,Dive Wizard,positive,0.9657,0.0,0.9657,
hitter,Durable,positive,0.9657,0.0,0.9657,
pitcher,Durable,positive,1.2139,0.0,1.2139,
hitter,Easy Jumps,negative,-1.7518,0.0,-1.7518,
pitcher,Easy Jumps,negative,-1.1653,0.0,-1.1653,
hitter,Easy Target,negative,-1.7518,0.0,-1.7518,
pitcher,Easy Target,negative,-1.1653,0.0,-1.1653,
pitcher,Elite 2F,positive,1.2139,-0.528,0.6858,"If arsenal also includes 2F, add pitch coefficient 0.4732."
pitcher,Elite 4F,positive,1.2139,0.4168,1.6306,"If arsenal also includes 4F, add pitch coefficient 0.6322."
pitcher,Elite CB,positive,1.2139,-0.2319,0.9819,"If arsenal also includes CB, add pitch coefficient 0.1994."
pitcher,Elite CF,positive,1.2139,0.7579,1.9718,"If arsenal also includes CF, add pitch coefficient 0.4593."
pitcher,Elite CH,positive,1.2139,0.0,1.2139,
pitcher,Elite FK,positive,1.2139,0.4855,1.6993,"If arsenal also includes FK, add pitch coefficient -0.4883."
pitcher,Elite SB,positive,1.2139,0.0,1.2139,
pitcher,Elite SL,positive,1.2139,0.0,1.2139,
hitter,Falls Behind,negative,-1.7518,0.0,-1.7518,
pitcher,Falls Behind,negative,-1.1653,-0.9976,-2.1629,
hitter,Fastball Hitter,positive,0.9657,2.4543,3.4199,
hitter,First Pitch Prayer,negative,-1.7518,0.0,-1.7518,
pitcher,First Pitch Prayer,negative,-1.1653,0.0,-1.1653,
hitter,First Pitch Slayer,positive,0.9657,0.6986,1.6643,
