Team,P_C,P_1B,P_2B,P_3B,P_SS,P_LF,P_CF,P_RF,P_SP,P_SP/RP,P_RP,P_CP,S_1B,S_1B/OF,S_2B,S_3B,S_C,S_IF,S_IF/OF,S_LF,S_OF,S_RF,S_SS,S_None,Total
Beewolves,2,2,2,1,1,2,1,2,4,1,3,1,2,0,0,1,1,0,1,1,3,1,1,11,22
Blowfish,2,1,2,2,1,2,1,2,4,2,2,1,2,1,1,1,1,0,0,0,3,0,2,11,22
Buzzards,2,2,2,1,2,2,1,1,4,2,2,1,0,0,1,2,1,0,2,1,1,1,1,12,22
Crocs,2,2,1,2,1,1,2,2,4,1,3,1,2,0,0,1,1,1,0,1,3,1,1,11,22
Freebooters,2,2,2,1,1,2,1,2,4,1,3,1,1,0,1,2,1,1,0,0,3,1,1,11,22
Grapplers,2,2,1,2,1,2,1,2,4,1,4,0,1,0,1,1,1,1,0,2,2,0,2,11,22
Heaters,2,1,2,1,2,2,2,1,4,1,4,0,1,1,1,1,1,0,1,1,1,1,2,11,22
Herbisaurs,2,1,2,1,2,2,1,2,4,1,3,1,3,1,1,1,1,0,1,0,2,0,1,11,22
Hot Corners,2,2,2,1,1,2,2,1,4,1,3,1,1,0,0,0,1,1,1,0,4,0,1,13,22
Jacks,2,1,2,2,1,2,2,1,4,1,3,1,2,1,0,0,1,1,0,0,3,0,3,11,22
Moonstars,2,2,1,2,2,2,1,2,4,1,2,1,1,0,2,1,1,1,0,2,4,0,0,10,22
Moose,2,2,1,1,2,2,1,2,4,2,2,1,1,0,1,1,1,0,0,1,3,2,2,10,22
Nemesis,2,1,2,1,2,1,2,2,4,1,3,1,2,1,1,2,1,1,0,1,1,1,1,10,22
Overdogs,2,2,1,2,2,2,1,1,4,1,4,0,2,1,1,0,1,1,0,1,1,2,1,11,22
Platypi,2,1,2,2,1,2,1,2,3,3,2,1,2,1,1,2,1,0,0,0,2,0,2,11,22
Sand Cats,2,2,2,1,1,2,2,1,4,1,3,1,1,1,0,2,1,0,0,1,4,0,1,11,22
Sawteeth,2,1,2,1,2,1,2,2,4,1,3,1,1,1,1,1,1,1,1,1,2,2,1,9,22
Sirloins,2,2,1,2,1,2,2,1,4,1,3,1,1,1,2,1,1,0,0,0,3,1,1,11,22
Wideloads,2,1,2,1,2,2,2,1,4,1,3,1,1,0,1,1,1,1,0,1,3,0,1,12,22
Wild Pigs,2,1,2,1,2,2,2,1,4,2,3,0,0,1,1,1,1,1,0,0,2,1,1,13,22
