team,profileCode,powerLevel,contactLevel,speedLevel,rotationLevel,bullpenLevel,powerBars,contactBars,speedBars,rotationBars,bullpenBars,powerScore,contactScore,speedScore,rotationScore,bullpenScore,players,hitters,rotationPitchers,bullpenPitchers
Beewolves,P2-C3-S4-R4-B0,2,3,4,4,0,■■□□□□,■■■□□□,■■■■□□,■■■■□□,□□□□□□,54.4,61.0,63.9,63.2,50.1,22,13,5,4
Blowfish,P2-C6-S4-R2-B0,2,6,4,2,0,■■□□□□,■■■■■■,■■■■□□,■■□□□□,□□□□□□,56.6,73.2,64.8,56.5,51.8,22,13,6,3
Buzzards,P2-C4-S4-R1-B2,2,4,4,1,2,■■□□□□,■■■■□□,■■■■□□,■□□□□□,■■□□□□,55.2,63.7,65.0,54.2,56.4,22,13,6,3
Crocodons,P1-C4-S2-R6-B1,1,4,2,6,1,■□□□□□,■■■■□□,■■□□□□,■■■■■■,■□□□□□,51.3,64.8,56.1,69.1,53.2,22,13,5,4
Freebooters,P2-C4-S1-R4-B6,2,4,1,4,6,■■□□□□,■■■■□□,■□□□□□,■■■■□□,■■■■■■,58.4,66.1,51.1,62.3,73.9,22,13,5,4
Grapplers,P2-C1-S4-R1-B5,2,1,4,1,5,■■□□□□,■□□□□□,■■■■□□,■□□□□□,■■■■■□,58.5,49.2,64.1,53.4,69.0,22,13,5,4
Heaters,P1-C2-S5-R3-B1,1,2,5,3,1,■□□□□□,■■□□□□,■■■■■□,■■■□□□,■□□□□□,53.6,56.5,67.5,58.8,53.6,22,13,5,4
Herbisaurs,P1-C2-S5-R4-B0,1,2,5,4,0,■□□□□□,■■□□□□,■■■■■□,■■■■□□,□□□□□□,51.7,54.9,66.8,64.7,50.8,22,13,5,4
Hot Corners,P4-C6-S2-R4-B3,4,6,2,4,3,■■■■□□,■■■■■■,■■□□□□,■■■■□□,■■■□□□,64.6,72.8,55.1,62.0,63.9,22,13,5,4
Jacks,P3-C6-S0-R0-B4,3,6,0,0,4,■■■□□□,■■■■■■,□□□□□□,□□□□□□,■■■■□□,63.2,75.2,47.2,50.6,67.5,22,13,5,4
Moonstars,P3-C3-S1-R6-B5,3,3,1,6,5,■■■□□□,■■■□□□,■□□□□□,■■■■■■,■■■■■□,60.1,60.1,49.7,69.5,70.9,22,14,5,3
Moose,P5-C1-S1-R3-B6,5,1,1,3,6,■■■■■□,■□□□□□,■□□□□□,■■■□□□,■■■■■■,69.3,52.8,52.0,59.5,72.4,22,13,6,3
Nemesis,P5-C4-S1-R0-B0,5,4,1,0,0,■■■■■□,■■■■□□,■□□□□□,□□□□□□,□□□□□□,71.7,64.2,49.8,51.3,50.4,22,13,5,4
Overdogs,P3-C2-S6-R2-B2,3,2,6,2,2,■■■□□□,■■□□□□,■■■■■■,■■□□□□,■■□□□□,62.9,57.7,71.5,56.9,58.8,22,13,5,4
Platypi,P1-C5-S4-R1-B1,1,5,4,1,1,■□□□□□,■■■■■□,■■■■□□,■□□□□□,■□□□□□,52.6,68.5,63.5,55.0,53.8,22,13,6,3
Sandcats,P0-C2-S6-R0-B5,0,2,6,0,5,□□□□□□,■■□□□□,■■■■■■,□□□□□□,■■■■■□,47.2,58.1,73.2,51.3,68.6,22,13,5,4
Sawteeth,P3-C3-S3-R2-B4,3,3,3,2,4,■■■□□□,■■■□□□,■■■□□□,■■□□□□,■■■■□□,61.1,61.6,58.2,57.2,64.5,22,13,5,4
Sirloins,P6-C0-S3-R5-B1,6,0,3,5,1,■■■■■■,□□□□□□,■■■□□□,■■■■■□,■□□□□□,75.4,46.8,61.3,65.5,53.1,22,13,5,4
Wideloads,P5-C3-S1-R4-B2,5,3,1,4,2,■■■■■□,■■■□□□,■□□□□□,■■■■□□,■■□□□□,70.5,62.1,53.0,63.5,56.6,22,13,5,4
Wild Pigs,P4-C0-S5-R3-B4,4,0,5,3,4,■■■■□□,□□□□□□,■■■■■□,■■■□□□,■■■■□□,66.1,48.8,68.4,60.6,67.4,22,13,6,3
